Publisher,Total_Docs
Wroclaw University of Science and Technology,36
MUK Publications and Distribution,19
Walter de Gruyter GmbH,11
IGI Global Publishing,2
Institut National de la Statistique et des Etudes Economiques,15
Oxford University Press,30
Isik University,136
Sage Publications India Pvt. Ltd,21
Iranian Statistical Society,0
IOS Press BV,32
Universidad de La Habana,55
Pleiades Publishing,14
Inderscience,20
Wayne State University,0
"Faculty of Social Sciences, University of Ljubljana",0
Tehran University of Medical Sciences,18
South African Statistical Association,6
ASA Associazione per la Statistica Applicata,11
Kozponti Statisztikai Hivatal,41
Natural Sciences Publishing,124
Cambridge University Press,11
"Institute of Mathematics, Ukrainian National Academy of Sciences",5
IOS Press,7
Vadym Hetman Kyiv National University of Economics,0
Polish Academy of Sciencies-Lodz Branch,9
NA,0
Waxmann Verlag GmbH,21
Indian Statistical Institute,0
Mathematical and Research Society,0
Utilitas Mathematica Publishing Inc.,0
Vita e Pensiero,0
"Institute of Statistical Research and Training (ISRT), University of Dhaka",0
Roman Science Publications and Distributions,10
