Publisher,Total_Docs
Groupe des ecoles nationales d'economie et statistique,17
Taylor and Francis Inc.,16
Walter de Gruyter GmbH,20
Springer Netherlands,137
Taylor and Francis Ltd.,64
Taylor and Francis Ltd.,568
Society for Industrial and Applied Mathematics Publications,70
IOS Press BV,1016
Elsevier Ireland Ltd,118
Associacao Brasileira de Estatistica,41
Korean Statistical Society,56
Walter de Gruyter GmbH,8
Wiley-Blackwell,18
"International Press of Boston, Inc.",40
Springer Verlag,28
Jomard Publishing,33
Springer Nature,16
American Mathematical Society,22
International Academic Press,76
Hacettepe University,124
Springer Science and Business Media B.V.,41
EDP Sciences,17
Springer-Verlag Italia s.r.l.,20
Frontiers Media SA,133
SpringerOpen,0
Springer Science and Business Media Deutschland GmbH,568
Springer Verlag,26
U.S. National Center for Health Statistics,5
Elsevier B.V.,15
The American Society of Mechanical Engineers(ASME),21
Taylor and Francis Ltd.,30
Multidisciplinary Digital Publishing Institute (MDPI),82
Oxford University Press,67
Hungarian Central Statistical Office,26
Springer India,37
Springer Nature,69
Badih Ghusayni,167
The Belarusian State University,29
VTeX,22
Wiley-Blackwell Publishing Ltd,24
Walter de Gruyter GmbH,8
Instituto Nacional De Estatistica,33
International Association for Statistical Education (IASE),26
Springer India,29
Cornell University,9
Springer Verlag,43
World Scientific,22
PWN-Polish Scientific Publishers,17
Digital CSIC,6
Walter de Gruyter GmbH,27
Croatian Operational Research Society,17
New York Business Global,154
Chilean Statistical Society,13
Springer International Publishing AG,13
Polymat,27
Institut National de la Statistique et des Etudes Economiques,26
IGI Global Publishing,7
American Institute of Mathematical Sciences,29
Walter de Gruyter GmbH,20
Walter de Gruyter GmbH,24
IOS Press BV,32
Thai Statistical Association,61
Universidad Nacional de Colombia,21
World Scientific and Engineering Academy and Society,109
Wayne State University,0
ESE - Salento University Publishing,34
DAV College,108
Horizon Research Publishing,137
Korean Statistical Society,49
Islamic Countries Society of Statistical Sciences,21
MUK Publications and Distribution,21
NA,8
IOS Press BV,60
Statistics Canada,21
Taylor and Francis Ltd.,41
Polskie Towarzystwo Semiotyczne,51
Kozponti Statisztikai Hivatal,41
Isik University,139
Cambridge University Press,23
Walter de Gruyter GmbH,15
Iranian Statistical Society,8
Austrian Society for Statistics,28
Science China Press,36
Universidad de La Habana,60
Pleiades Publishing,11
Pakistan Journal of Statistics,26
Natural Sciences Publishing,99
Routledge,34
"Faculty of Social Sciences, University of Ljubljana",1
Henry Stewart Publications,34
River Publishers,23
ASA Associazione per la Statistica Applicata,15
Yarmouk University,71
Utilitas Mathematica Publishing Inc.,9
IOS Press,0
"Institute of Mathematics, Ukrainian National Academy of Sciences",5
Serials Publications,0
NA,1
Tehran University of Medical Sciences,36
South African Statistical Association,6
Inderscience,20
Wroclaw University of Science and Technology,31
Lifescience Global,24
Oles Honchar Dnipro National University,11
Polish Academy of Sciencies-Lodz Branch,15
Waxmann Verlag GmbH,26
Mathematical and Research Society,11
Sage Publications India Pvt. Ltd,9
Vita e Pensiero,6
Indian Statistical Institute,7
IOS Press BV,20
American Institute of Mathematical Sciences,23
Ele-Math,24
"Institute of Statistical Research and Training (ISRT), University of Dhaka",10
Springer,29
Vadym Hetman Kyiv National University of Economics,6
University of Pennsylvania Press,13
Emerald Publishing,19
Walter de Gruyter GmbH,17
Multidisciplinary Digital Publishing Institute (MDPI),80
Roman Science Publications and Distributions,10
