Publisher,Total_Docs
Department of Mathematics at Princeton University,28
Taylor and Francis Ltd.,195
Institute of Mathematical Statistics,142
Oxford University Press,103
Annual Reviews Inc.,23
Oxford University Press,77
Taylor and Francis Ltd.,225
Institute of Mathematical Statistics,62
Oxford University Press,975
University of California at Los Angeles,51
Springer New York,77
Cambridge University Press,26
Nature Publishing Group,764
Taylor and Francis Ltd.,52
Microtome Publishing,350
Oxford University Press,71
Carnegie Mellon University,43
Institute of Mathematical Statistics,40
Institute of Mathematical Statistics,131
Institute of Mathematical Statistics,65
Wiley-Blackwell Publishing Ltd,56
Taylor and Francis Ltd.,114
Springer New York,43
Psychology Press Ltd,74
Wiley-Blackwell,29
John Wiley and Sons Ltd,349
Bernoulli Society for Mathematical Statistics and Probability,90
Cambridge University Press,112
John Wiley & Sons Inc.,29
Springer Verlag,27
Wiley-Blackwell Publishing Ltd,145
SAGE Publications Ltd,153
SMAI French Society for Applied and Industrial Mathematics,15
Taylor and Francis Ltd.,25
Elsevier B.V.,91
Institute of Mathematical Statistics,11
Institute of Mathematical Statistics,164
Oxford University Press,30
Elsevier B.V.,198
INFORMS Institute for Operations Research and the Management Sciences,17
Institute of Statistical Science,114
Academic Press Inc.,161
Institute of Mathematical Statistics,130
GESIS - Leibniz Institute for the Social Sciences,12
Elsevier B.V.,1647
Taylor and Francis Ltd.,42
Taylor and Francis Ltd.,69
Institute of Mathematical Statistics,152
Elsevier B.V.,84
Springer Nature,24
Taylor and Francis Ltd.,40
Wiley-VCH Verlag,82
Cambridge University Press,27
Oxford University Press,167
Copernicus GmbH,12
Wiley-Blackwell,46
Society for Industrial and Applied Mathematics Publications,60
Springer Netherlands,108
Walter de Gruyter GmbH,23
Elsevier B.V.,93
Oxford University Press,84
Cambridge University Press,14
Association for Computing Machinery (ACM),10
Elsevier B.V.,176
Wiley-VCH Verlag,222
Elsevier B.V.,35
Oxford University Press,61
Springer Verlag,66
European Mathematical Society Publishing House,20
Springer Verlag,44
John Wiley and Sons Ltd,94
Instituto Nacional de Matematica Pura e Aplicada,69
John Wiley and Sons Ltd,45
American Physical Society,1780
John Wiley & Sons Inc.,34
Academic Press Inc.,41
Cambridge University Press,67
Wiley-Blackwell Publishing Ltd,66
Springer New York,76
Taylor and Francis Ltd.,31
Springer New York,50
Elsevier Inc.,64
Taylor and Francis Ltd.,34
Taylor and Francis Ltd.,66
IOP Publishing Ltd.,676
Springer New York,37
Springer Netherlands,208
Elsevier B.V.,999
Springer Netherlands,142
R Foundation for Statistical Computing,85
NA,26
Physica-Verlag,212
University of Skovde,7
Elsevier B.V.,101
Springer New York,104
Springer Netherlands,47
Springer International Publishing AG,37
Taylor and Francis Ltd.,44
Springer New York,31
Multidisciplinary Digital Publishing Institute (MDPI),746
KeAi Communications Co.,21
Springer Verlag,124
"International Press of Boston, Inc.",57
Elsevier B.V.,90
American Institute of Mathematical Sciences,37
Cambridge University Press,41
Cambridge University Press,28
American Institute of Mathematical Sciences,21
Institute of Mathematical Statistics,6
Begell House Inc.,25
Universidad Internacional de la Rioja,70
Springer Science + Business Media,57
Springer Netherlands,23
Springer Netherlands,25
Wiley-Blackwell Publishing Ltd,19
Academic Press,207
Springer Verlag,30
Institute of Mathematical Statistics,63
Cambridge University Press,68
Springer Netherlands,37
Springer Nature,62
World Scientific,39
Walter de Gruyter GmbH,39
World Scientific Publishing Co. Pte Ltd,29
"College of Statistical and Actuarial Sciences, University of Punjab",67
Routledge,212
Taylor and Francis Ltd.,182
IOP Publishing Ltd.,257
Taylor and Francis Ltd.,23
Taylor and Francis Ltd.,53
Hungarian Central Statistical Office,32
Statistics Sweden,50
Taylor and Francis Ltd.,16
Springer Verlag,24
Wiley-Blackwell,69
Springer Nature,48
Springer Netherlands,58
Gordon and Breach Science Publishers,50
Springer Verlag,42
Wiley-Blackwell Publishing Ltd,105
Elsevier B.V.,202
Institut d'Estadistica de Catalunya,5
Walter de Gruyter GmbH,7
SAGE Publications Ltd,38
Taylor and Francis Ltd.,515
