Publisher,Total_Docs
"Institute of Mathematics, Ukrainian National Academy of Sciences",0
Inderscience,24
Polymat,28
Wroclaw University of Science and Technology,27
NA,36
Waxmann Verlag GmbH,25
Vita e Pensiero,1
ASA Associazione per la Statistica Applicata,13
Hindawi Limited,0
Indian Statistical Institute,12
Polish Academy of Sciencies-Lodz Branch,16
Mathematical and Research Society,12
Lifescience Global,19
Jomard Publishing,26
Sage Publications India Pvt. Ltd,10
IOS Press BV,7
Cambridge University Press,19
American Institute of Mathematical Sciences,25
Springer Nature,18
Universidad Internacional de la Rioja,83
Tehran University of Medical Sciences,34
Ele-Math,25
River Publishers,32
"Institute of Statistical Research and Training (ISRT), University of Dhaka",21
Taylor and Francis Ltd.,37
Science China Press,40
Springer,19
Springer Nature,47
Vadym Hetman Kyiv National University of Economics,7
University of Pennsylvania Press,35
American Institute of Mathematical Sciences,20
Oles Honchar Dnipro National University,8
Emerald Publishing,20
SMAI French Society for Applied and Industrial Mathematics,9
Walter de Gruyter GmbH,19
Kozponti Statisztikai Hivatal,43
Roman Science Publications and Distributions,10
